player,team,pos,bye,adp,adp_source,proj_points,games,archetype,risk,note
Will Reichard,MIN,K,6,,,145.8,17,,low,"kicker; stream by the offense's implied team total, not by name"
Juwan Johnson,NO,TE,8,,,145.6,17,move TE,low,move TE; 60 catches for 676 yards projected
Cam Little,JAC,K,7,,,145.0,17,,low,"kicker; stream by the offense's implied team total, not by name"
Tua Tagovailoa,ATL,QB,11,,,144.0,17,pocket QB,low,pocket QB; 42 rushing yards projected
Tyler Loop,BAL,K,13,,,143.1,17,,low,"kicker; stream by the offense's implied team total, not by name"
Cairo Santos,CHI,K,10,,,143.0,17,,low,"kicker; stream by the offense's implied team total, not by name"
Trey Smack,GB,K,11,,,142.0,17,,low,"kicker; stream by the offense's implied team total, not by name"
Tyler Bass,BUF,K,7,,,141.5,17,,low,"kicker; stream by the offense's implied team total, not by name"
Jake Bates,DET,K,6,,,141.3,17,,low,"kicker; stream by the offense's implied team total, not by name"
Blake Grupe,IND,K,13,,,141.0,17,,low,"kicker; stream by the offense's implied team total, not by name"
Andres Borregales,NE,K,11,,,140.3,17,,low,"kicker; stream by the offense's implied team total, not by name"
Pat Freiermuth,PIT,TE,9,,,139.6,17,move TE,low,move TE; 53 catches for 566 yards projected
Greg Dulcich,MIA,TE,6,,,138.6,17,move TE,low,move TE; 54 catches for 606 yards projected
Evan McPherson,CIN,K,6,,,138.3,17,,low,"kicker; stream by the offense's implied team total, not by name"
Chris Boswell,PIT,K,9,,,138.0,17,,low,"kicker; stream by the offense's implied team total, not by name"
Jake Elliott,PHI,K,10,,,135.5,17,,low,"kicker; stream by the offense's implied team total, not by name"
T.J. Hockenson,MIN,TE,6,,,133.8,17,move TE,low,move TE; 59 catches for 568 yards projected
Jerry Jeudy,CLE,WR,11,,,133.5,17,big slot,low,big slot; 51 catches for 645 yards projected
Deshaun Watson,CLE,QB,11,,,132.7,17,pocket QB,low,pocket QB; 189 rushing yards projected
Brenton Strange,JAC,TE,7,,,132.1,17,move TE,low,move TE; 51 catches for 571 yards projected
Chigoziem Okonkwo,WAS,TE,7,,,129.9,17,move TE,low,move TE; 57 catches for 549 yards projected
Tyrone Tracy Jr.,NYG,RB,8,,,128.5,17,early-down committee back,high,early-down committee back; 114 carries + 32 catches projected
AJ Barner,SEA,TE,11,,,128.4,17,move TE,low,move TE; 54 catches for 504 yards projected
Rashod Bateman,BAL,WR,13,,,125.2,17,big slot,low,big slot; 44 catches for 572 yards projected
Alvin Kamara,NO,RB,8,,,124.3,17,early-down committee back,high,early-down committee back; 113 carries + 34 catches projected
Cade Otton,TB,TE,10,,,123.5,17,move TE,low,move TE; 53 catches for 525 yards projected
Evan Engram,DEN,TE,10,,,123.4,17,move TE,low,move TE; 57 catches for 484 yards projected
Jalen McMillan,TB,WR,10,,,118.5,17,field-stretching Z,low,field-stretching Z; 39 catches for 555 yards projected
Oronde Gadsden,LAC,TE,7,,,117.7,17,blocking TE,low,blocking TE; 42 catches for 517 yards projected
Dylan Sampson,CLE,RB,11,,,114.1,17,handcuff,high,handcuff; 61 carries + 40 catches projected
