franchise,name,role,alloc_mpg,a,expected_team_game_minutes,expected_gp,gp_lo,gp_hi,high_uncertainty,pid,key
HOU,Fred VanVleet,starter,33.2,0.794211556808669,26.36782368604781,63.0,52.0,74.0,True,1627832.0,1627832
HOU,Reed Sheppard,rotation,30.8,0.8421807747489239,25.939167862266856,70.0,59.0,79.0,True,1642263.0,1642263
HOU,Tari Eason,rotation,30.5,0.6682811281330342,20.382574408057543,59.0,45.0,72.0,True,1631106.0,1631106
HOU,Marcus Smart,rotation,30.2,0.6204772934400801,18.73841426189042,57.0,43.0,71.0,True,203935.0,203935
HOU,Clint Capela,rotation,15.4,0.82378038786132,12.686217973064329,55.0,41.0,70.0,True,203991.0,203991
HOU,Bogdan Bogdanović,rotation,20.7,0.6126724952873079,12.682320652447274,51.0,34.0,67.0,True,203992.0,203992
HOU,Steven Adams,deep,28.6,0.35,10.01,53.0,36.0,69.0,True,203500.0,203500
HOU,Jabari Smith Jr.,starter,24.0,0.38813241730595227,9.315178015342855,65.0,54.0,75.0,True,2074.0,2074
HOU,Bruce Thornton,deep,14.0,0.22400000000000003,3.1360000000000006,33.0,16.0,51.0,True,,name::HOU::bruce thornton
HOU,Quadir Copeland,deep,14.0,0.17920000000000003,2.5088000000000004,27.0,13.0,42.0,True,,name::HOU::quadir copeland
HOU,JD Davison,deep,11.7,0.14336000000000002,1.6773120000000001,21.0,9.0,36.0,True,1631120.0,1631120
HOU,Tristen Newton,deep,15.2,0.05,0.76,14.0,5.0,24.0,True,1641803.0,1641803
IND,Pascal Siakam,starter,32.0,0.86319295842967,27.62217466974944,66.0,54.0,75.0,True,1627783.0,1627783
IND,Tyrese Haliburton,starter,31.4,0.8411196051540007,26.411155601835624,66.0,56.0,76.0,True,1630169.0,1630169
IND,Ivica Zubac,starter,31.7,0.8066566541322957,25.571015935993774,62.0,50.0,73.0,True,1627826.0,1627826
IND,Andrew Nembhard,starter,31.5,0.7777579848439621,24.499376522584807,61.0,49.0,73.0,True,1629614.0,1629614
IND,Kelly Oubre Jr.,starter,33.5,0.7236107348904479,24.240959618830004,58.0,44.0,71.0,True,1626162.0,1626162
IND,Jarace Walker,rotation,26.7,0.800033411293017,21.360892081523552,69.0,57.0,78.0,True,1641716.0,1641716
IND,Aaron Nesmith,rotation,29.7,0.6594162943778196,19.58466394302124,54.0,39.0,69.0,True,1630174.0,1630174
IND,Jay Huff,rotation,22.8,0.6090542766702054,13.886437508080684,70.0,59.0,79.0,True,1630643.0,1630643
IND,Obi Toppin,rotation,19.2,0.7132594978551963,13.694582358819767,59.0,46.0,73.0,True,1630167.0,1630167
